date,campaign_id,revenue,orders
2025-07-04,C001,33189.41,3
2025-07-04,C002,19446.18,4
2025-07-04,C003,62381.32,9
2025-07-04,C004,37755.15,7
2025-07-04,C005,29191.190000000002,3
2025-07-04,C006,25933.51,5
2025-07-04,C007,47518.979999999996,7
2025-07-04,C008,20028.54,5
2025-07-04,C009,23886.39,5
2025-07-04,C010,11634.58,2
2025-07-04,C011,25417.79,5
2025-07-04,C012,24552.91,4
2025-07-04,C013,49983.86,6
2025-07-04,C014,10464.16,2
2025-07-04,C015,11678.789999999999,3
2025-07-04,C016,16955.75,3
2025-07-04,C017,0.0,0
2025-07-04,C018,67862.42,10
2025-07-04,C019,7134.4,2
2025-07-04,C020,706.97,1
2025-07-04,C021,0.0,0
2025-07-04,C022,9053.73,1
2025-07-04,C023,54490.229999999996,6
2025-07-04,C024,0.0,0
2025-07-04,C025,17343.82,2
2025-07-04,C026,1640.89,1
2025-07-04,C027,0.0,0
2025-07-04,C028,5709.2699999999995,1
2025-07-04,C029,9624.319999999998,1
2025-07-04,C030,7794.35,1
2025-07-04,C031,0.0,0
2025-07-04,C032,0.0,0
2025-07-04,C033,3124.4700000000003,1
2025-07-04,C034,12420.09,2
2025-07-04,C035,6228.26,1
2025-07-04,C036,30974.66,6
2025-07-04,C037,0.0,0
2025-07-04,C038,1541.67,1
2025-07-04,C039,13131.58,2
2025-07-04,C040,5212.0,1
2025-07-05,C001,28815.399999999998,4
2025-07-05,C002,17034.73,2
2025-07-05,C003,19678.719999999998,4
2025-07-05,C004,11689.1,2
2025-07-05,C005,33227.14,6
2025-07-05,C006,54604.47,7
2025-07-05,C007,49414.56,6
2025-07-05,C008,11465.529999999999,3
2025-07-05,C009,8433.04,1
2025-07-05,C010,5383.2,2
2025-07-05,C011,18153.75,3
2025-07-05,C012,3909.5999999999995,1
2025-07-05,C013,0.0,0
2025-07-05,C014,7007.77,1
2025-07-05,C015,9668.800000000001,3
2025-07-05,C016,0.0,0
2025-07-05,C017,16842.99,3
2025-07-05,C018,13512.22,3
2025-07-05,C019,10801.0,1
2025-07-05,C020,22887.95,4
2025-07-05,C021,0.0,0
2025-07-05,C022,0.0,0
